Time,Open,High,Low,Close,Volume,VWAP
1593198420,1.98,1.98,1.96,1.96,3.0,2.447083
1593198480,1.97,1.97,1.97,1.97,2.0,2.447
1593198540,1.96,2.02,1.96,2.0,14.0,2.446414
1593198660,2.01,2.01,2.01,2.01,2.0,2.446338
1593198720,1.98,1.99,1.98,1.99,6.0,2.446097
1593198780,2.0,2.0,2.0,2.0,1.0,2.446058
1593198840,2.01,2.01,2.01,2.01,2.0,2.445981
1593198900,2.05,2.05,2.05,2.05,35.0,2.44477
1593198960,1.98,1.99,1.98,1.99,37.0,2.443301
1593199080,1.99,1.99,1.97,1.97,8.0,2.442978
1593199140,1.96,1.96,1.95,1.96,42.0,2.441188
1593199200,1.98,1.98,1.95,1.95,2.0,2.441105
1593199260,1.94,1.94,1.94,1.94,1.0,2.441062
1593199320,1.94,1.95,1.94,1.95,26.0,2.439956
1593199380,1.94,2.0,1.94,2.0,42.0,2.438319
1593199440,1.96,1.96,1.96,1.96,1.0,2.438278
1593199500,1.9,1.9,1.89,1.89,43.0,2.436283
1593199560,1.93,1.93,1.93,1.93,1.0,2.436239
1593199620,2.0,2.01,2.0,2.0,17.0,2.435604
1593199680,2.01,2.02,1.99,2.01,20.0,2.434882
1593199740,2.01,2.01,2.0,2.0,41.0,2.433382
1593199800,2.0,2.0,1.96,1.97,126.0,2.428356
1593199860,1.95,1.95,1.89,1.89,13.0,2.427825
1593199920,1.88,1.88,1.88,1.88,10.0,2.427363
1593200040,1.88,1.89,1.88,1.89,51.0,2.425064
1593200100,1.9,1.9,1.84,1.84,9.0,2.424637
1593200160,1.86,1.86,1.84,1.85,22.0,2.423586
1593200220,1.86,1.86,1.86,1.86,105.0,2.418678
1593200280,1.87,1.9,1.87,1.87,165.0,2.411514
1593200340,1.87,1.88,1.87,1.88,3.0,2.411382
1593200400,1.88,1.88,1.85,1.85,12.0,2.410837
1593200460,1.98,1.98,1.96,1.96,5.0,2.41066
1593200520,1.95,1.96,1.94,1.96,3.0,2.410547
1593200580,1.95,2.03,1.95,2.03,6.0,2.410354
1593200700,2.01,2.07,2.01,2.07,35.0,2.409365
1593200760,2.07,2.07,2.05,2.07,244.0,2.402629
1593200880,2.13,2.14,2.11,2.11,33.0,2.401915
1593200940,2.09,2.09,2.04,2.04,161.0,2.397403
1593201000,2.01,2.01,2.01,2.01,3.0,2.397312
1593201060,2.0,2.0,1.97,1.97,45.0,2.395879
1593201120,1.97,1.97,1.95,1.95,10.0,2.395538
1593201180,1.94,1.94,1.94,1.94,37.0,2.394223
1593201240,1.91,1.91,1.89,1.89,39.0,2.39275
1593201300,1.9,1.9,1.9,1.9,1.0,2.392711
1593201360,1.93,1.95,1.91,1.91,14.0,2.392223
1593201420,1.9,1.9,1.86,1.87,68.0,2.389554
1593201480,1.9,1.9,1.85,1.89,48.0,2.387675
1593201540,1.9,1.92,1.88,1.92,147.0,2.382276
1593201600,1.92,2.01,1.92,2.01,82.0,2.379594
1593201660,2.02,2.02,2.02,2.02,1.0,2.379567
1593201720,2.02,2.02,2.02,2.02,2.0,2.379512
1593201780,1.99,1.99,1.99,1.99,30.0,2.378631
1593201840,1.99,2.01,1.99,2.01,12.0,2.37829
1593201900,2.01,2.05,2.01,2.05,27.0,2.377557
1593201960,2.03,2.03,2.03,2.03,82.0,2.375426
1593202020,2.02,2.02,2.02,2.02,2.0,2.375373
1593202080,2.05,2.05,2.02,2.02,39.0,2.374424
1593202260,1.96,1.96,1.96,1.96,1.0,2.374393
1593202320,1.94,1.94,1.94,1.94,7.0,2.374167
1593202380,1.98,1.98,1.97,1.97,40.0,2.372988
1593202440,1.98,2.0,1.98,2.0,14.0,2.372597
1593437400,1.94,1.96,1.93,1.96,14.0,1.949285
1593437460,1.92,1.93,1.88,1.88,26.0,1.913
1593437520,1.83,1.88,1.83,1.88,53.0,1.867204
1593437580,1.86,1.88,1.86,1.87,13.0,1.867358
1593437640,1.81,1.81,1.78,1.78,12.0,1.860932
1593437700,1.77,1.8,1.76,1.76,27.0,1.843517
1593437760,1.77,1.78,1.76,1.76,4.0,1.841476
1593437820,1.75,1.78,1.75,1.75,17.0,1.833012
1593437880,1.75,1.75,1.69,1.69,3.0,1.831065
1593437940,1.7,1.7,1.7,1.7,20.0,1.817195
1593438000,1.67,1.67,1.62,1.63,33.0,1.791216
1593438060,1.6,1.63,1.6,1.63,13.0,1.781702
1593438120,1.6,1.62,1.6,1.62,11.0,1.774024
1593438180,1.6,1.63,1.6,1.63,10.0,1.767812
1593438300,1.6,1.63,1.6,1.61,41.0,1.747171
1593438360,1.58,1.6,1.58,1.58,8.0,1.742852
1593438420,1.65,1.66,1.59,1.59,365.0,1.683029
1593438480,1.58,1.58,1.55,1.58,63.0,1.674133
1593438600,1.63,1.64,1.63,1.64,251.0,1.662886
1593438660,1.61,1.61,1.58,1.58,3.0,1.662664
1593438780,1.66,1.69,1.66,1.69,443.0,1.671006
1593438840,1.67,1.7,1.67,1.7,5.0,1.671059
1593438900,1.7,1.71,1.7,1.7,8.0,1.671226
1593438960,1.72,1.73,1.72,1.72,102.0,1.674453
1593439020,1.74,1.76,1.74,1.76,35.0,1.676335
1593439080,1.71,1.71,1.71,1.71,1.0,1.676356
1593439140,1.76,1.76,1.76,1.76,2.0,1.676462
1593439200,1.77,1.83,1.77,1.82,57.0,1.68092
1593439260,1.8,1.82,1.78,1.8,30.0,1.682892
1593439320,1.81,1.87,1.81,1.87,11.0,1.683944
1593439380,1.86,1.86,1.83,1.84,43.0,1.687662
1593439440,1.85,1.86,1.85,1.85,17.0,1.689253
1593439500,1.85,1.85,1.81,1.81,16.0,1.690694
1593439560,1.79,1.8,1.78,1.8,68.0,1.694569
1593439620,1.85,1.86,1.85,1.86,24.0,1.696592
1593439680,1.86,1.86,1.82,1.82,47.0,1.699767
1593439800,1.83,1.83,1.79,1.79,16.0,1.700679
1593439860,1.75,1.77,1.75,1.77,31.0,1.701487
1593439920,1.79,1.79,1.79,1.79,1.0,1.701532
1593439980,1.9,1.9,1.9,1.9,4.0,1.70194
1593440040,1.95,1.96,1.95,1.96,8.0,1.70298
1593440100,1.96,1.98,1.96,1.96,8.0,1.704063
1593440340,1.98,2.0,1.98,2.0,18.0,1.7067
1593440400,2.02,2.05,2.02,2.03,32.0,1.711787
1593440460,2.01,2.01,2.01,2.01,2.0,1.712083
1593440520,2.0,2.0,2.0,2.0,50.0,1.719051
1593440640,2.0,2.0,2.0,2.0,5.0,1.719729
1593440700,2.0,2.0,2.0,2.0,35.0,1.724387
1593440760,2.01,2.01,2.01,2.01,327.0,1.762774
1593440880,1.96,1.96,1.96,1.96,1.0,1.762855
1593440940,1.96,1.96,1.96,1.96,2.0,1.763017
1593441000,2.0,2.0,1.99,2.0,575.0,1.808269
1593441060,2.04,2.05,2.04,2.05,23.0,1.810039
1593441120,2.04,2.04,2.01,2.01,6.0,1.810473
1593441240,2.0,2.04,2.0,2.04,92.0,1.816053
1593441300,2.02,2.04,2.02,2.03,14.0,1.817031
1593441360,2.03,2.03,2.03,2.03,71.0,1.821731
1593441420,1.98,1.98,1.98,1.98,2.0,1.821829
1593441480,2.03,2.17,2.03,2.17,31.0,1.825021
1593441540,2.13,2.16,2.13,2.15,36.0,1.828551
1593441600,2.14,2.15,2.14,2.15,8.0,1.829313
1593441720,2.07,2.07,2.07,2.07,20.0,1.830766
1593441840,2.09,2.11,2.09,2.11,2.0,1.830928
1593442140,2.11,2.15,2.11,2.15,5.0,1.831385
1593442200,2.22,2.22,2.22,2.22,81.0,1.840637
1593442260,2.2,2.2,2.2,2.2,8.0,1.84148
1593442320,2.19,2.19,2.19,2.19,1.0,1.841583
1593442380,2.09,2.09,2.09,2.09,2.0,1.841728
1593442440,2.1,2.1,2.1,2.1,1.0,1.841804
1593442500,2.09,2.09,2.09,2.09,81.0,1.847556
1593442620,2.07,2.07,2.07,2.07,1.0,1.84762
1593442740,2.09,2.09,2.09,2.09,30.0,1.849682
1593442800,2.08,2.08,2.06,2.06,6.0,1.850067
1593442860,2.09,2.09,2.09,2.09,10.0,1.850745
1593442980,2.07,2.07,2.07,2.07,1.0,1.850807
1593443040,2.1,2.1,2.1,2.1,1.0,1.850877
1593443160,2.0,2.01,2.0,2.01,14.0,1.851481
1593443220,2.0,2.01,2.0,2.01,5.0,1.8517
1593443280,2.01,2.01,2.01,2.01,5.0,1.851922
1593443400,2.01,2.02,2.01,2.02,206.0,1.860553
1593443460,1.98,1.98,1.98,1.98,9.0,1.860837
1593443760,2.0,2.01,2.0,2.01,2.0,1.860914
1593443820,1.97,1.97,1.97,1.97,2.0,1.860971
1593443880,1.95,1.95,1.94,1.94,2.0,1.861016
1593443940,1.97,1.98,1.97,1.98,26.0,1.861821
1593444000,2.02,2.02,2.02,2.02,1.0,1.861863
1593444060,1.99,1.99,1.99,1.99,4.0,1.861997
1593444120,2.01,2.01,2.01,2.01,1.0,1.862036
1593444300,2.1,2.11,2.1,2.11,16.0,1.863031
1593444360,2.09,2.09,2.09,2.09,1.0,1.86309
1593444480,2.11,2.11,2.11,2.11,16.0,1.864115
1593444540,2.1,2.11,2.1,2.11,4.0,1.864364
1593444600,2.11,2.11,2.11,2.11,1.0,1.864428
1593444660,2.09,2.09,2.07,2.07,58.0,1.867477
1593444720,2.11,2.11,2.11,2.11,1.0,1.867539
1593444780,2.11,2.11,2.1,2.1,10.0,1.868149
1593444840,2.09,2.1,2.09,2.1,2.0,1.868264
1593444960,2.04,2.06,2.04,2.06,11.0,1.868794
1593445020,2.06,2.09,2.06,2.09,102.0,1.87364
1593445140,2.04,2.04,2.03,2.03,32.0,1.874942
1593445200,2.05,2.05,2.05,2.05,10.0,1.87537
1593445260,2.07,2.07,2.06,2.06,7.0,1.875689
1593445320,2.06,2.07,2.06,2.07,4.0,1.875874
1593445380,2.07,2.07,2.07,2.07,1.0,1.875921
